un 	https://www.niederdeutsche-literatur.de/dwn/dwn_frw_he.php?W_ID=95	un	_	un	un	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%28man%29_jo_un_jo_ni
_	_	_	_	un	un	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%28s%C5%8D%29_no_un_no
_	_	_	_	un	un	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%28s%C5%8D%29_um_un_bi
_	_	_	_	un	un	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%E2%80%A6_ni_%E2%80%A6_un_ni_%E2%80%A6
_	_	_	_	un	un	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%E2%80%A6_un_%E2%80%A6
_	_	_	_	un	un	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#H%C4%93_un_S%C4%93
_	_	_	_	un	un	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#af_un_t%C5%8D
_	_	_	_	un	un	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#ni_un_ni
_	_	_	_	un	un	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#op_un_af
_	_	_	_	un	un	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#t%C5%8D_un_t%C5%8D
_	_	_	_	un	un	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#um_un_bi_u%7C%C3%BC_
_	_	_	_	un	un	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#um_un_um_um%7C%C3%BCm
_	_	_	_	un	un	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#un
_	_	_	_	un	un	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#un_s%C5%8D
snacken 	https://www.niederdeutsche-literatur.de/dwn/dwn_frw_he.php?W_ID=96	snacken	_	snacken	Snacken	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dat_Snacken
_	_	_	_	snacken	snacken	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%28dor%C3%B6ver%29_snacken
_	_	_	_	snacken	snacken	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#bunt_snacken
_	_	_	_	snacken	snacken	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#d%C3%B6r_de_Bl%C5%8D%C5%8Dm_snacken
_	_	_	_	snacken	snacken	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#d%C4%97n_Mund_v%C3%B6rbi_snacken
_	_	_	_	snacken	snacken	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dor_um_snacken
_	_	_	_	snacken	snacken	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dorvun_snacken
_	_	_	_	snacken	snacken	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dumm_T%C3%BC%C3%BC%C7%A7_snacken
_	_	_	_	snacken	snacken	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#dumm_un_d%C3%B6sig_snacken
_	_	_	_	snacken	snacken	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#h%C5%8D%C5%8Dch_snacken
_	_	_	_	snacken	snacken	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#mit_sik_snacken_loten
_	_	_	_	snacken	snacken	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#no_de_Snuut_snacken
_	_	_	_	snacken	snacken	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#nuschig_snacken
_	_	_	_	snacken	snacken	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#sik_dull_snacken
_	_	_	_	snacken	snacken	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#sik_in%E2%80%99e_Brass_snacken
_	_	_	_	snacken	snacken	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#sik_in%E2%80%99e_Fohrt_snacken
_	_	_	_	snacken	snacken	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#snacken
_	_	_	_	snacken	snacken	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#t%C3%B6sig_snacken
_	_	_	_	snacken	snacken	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#tauelig_snacken
_	_	_	_	snacken	snacken	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#um_un_dumm_snacken_um%7C%C3%BCm_
_	_	_	_	snacken	snacken	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#ut%E2%80%99n_Kopp_snacken
_	_	_	_	snacken	snacken	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#vun_%C4%97m_un_vun_ehr_snacken
hoch, hog 	https://www.niederdeutsche-literatur.de/dwn/dwn_frw_he.php?W_ID=97	hoch hog	_	hoch,	_
_	_	_	_	hog	_
Himmel 	https://www.niederdeutsche-literatur.de/dwn/dwn_frw_he.php?W_ID=99	Himmel	_	Himmel	Himmel	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#Himmel
Hewen, Heben 	https://www.niederdeutsche-literatur.de/dwn/dwn_frw_he.php?W_ID=100	Hewen Heben	_	Hewen,	Heḃen	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#B%C8%AB%C8%ABm_ni_no%E2%80%99n_He%E1%B8%83en
_	_	_	_	Hewen,	Heḃen	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#He%E1%B8%83en
_	_	_	_	Heben	hėbben	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%28%C4%93%C4%93n%29_an%E2%80%99e_Stripp_h%C4%97bben
_	_	_	_	Heben	hėbben	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%28dat%29_%C3%BCnner_sik_h%C4%97bben
_	_	_	_	Heben	hėbben	https://nds-spraakverarbeiden.github.io/linked-nds-dictionaries/woewoe.ttl#%28dat%29_h%C4%97bben
